step,event,from_label,to_label,fund,return_percent,amount_ars,app_fee_ars,head_paid_to_date,head_remaining,app_fee_cumulative,platform_float,open_obligation_total,notes
47,subscription,Investment15,platform,Stable Yield,10,100000,10000,0.00,110000.00,150000.00,90000.00,583000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
48,split,Investment15,Investment10,Capital Shield,6,13000,0,106000.00,0.00,150000.00,90000.00,570000.00,"Waterfall split 13000 ARS from Investment15 → Investment10 (106000/106000)"
49,payout_closed,Investment15,Investment10,Capital Shield,6,106000,0,106000.00,0.00,150000.00,90000.00,570000.00,"Payout closed for Investment10: 106000 ARS (6%) funded via marketplace splits"
50,split,Investment15,Investment11,Balanced Growth,15,77000,0,77000.00,38000.00,150000.00,90000.00,493000.00,"Waterfall split 77000 ARS from Investment15 → Investment11 (77000/115000)"
51,subscription,Investment16,platform,Growth Partners,25,100000,10000,0.00,125000.00,160000.00,90000.00,618000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
52,split,Investment16,Investment11,Balanced Growth,15,38000,0,115000.00,0.00,160000.00,90000.00,580000.00,"Waterfall split 38000 ARS from Investment16 → Investment11 (115000/115000)"
53,payout_closed,Investment16,Investment11,Balanced Growth,15,115000,0,115000.00,0.00,160000.00,90000.00,580000.00,"Payout closed for Investment11: 115000 ARS (15%) funded via marketplace splits"
54,split,Investment16,Investment12,Balanced Growth,15,52000,0,52000.00,63000.00,160000.00,90000.00,528000.00,"Waterfall split 52000 ARS from Investment16 → Investment12 (52000/115000)"
55,subscription,Investment17,platform,Capital Shield,6,100000,10000,0.00,106000.00,170000.00,90000.00,634000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
56,split,Investment17,Investment12,Balanced Growth,15,63000,0,115000.00,0.00,170000.00,90000.00,571000.00,"Waterfall split 63000 ARS from Investment17 → Investment12 (115000/115000)"
57,payout_closed,Investment17,Investment12,Balanced Growth,15,115000,0,115000.00,0.00,170000.00,90000.00,571000.00,"Payout closed for Investment12: 115000 ARS (15%) funded via marketplace splits"
58,split,Investment17,Investment13,Balanced Growth,15,27000,0,27000.00,88000.00,170000.00,90000.00,544000.00,"Waterfall split 27000 ARS from Investment17 → Investment13 (27000/115000)"
59,subscription,Investment18,platform,Growth Partners,25,100000,10000,0.00,125000.00,180000.00,90000.00,669000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
60,split,Investment18,Investment13,Balanced Growth,15,88000,0,115000.00,0.00,180000.00,90000.00,581000.00,"Waterfall split 88000 ARS from Investment18 → Investment13 (115000/115000)"
61,payout_closed,Investment18,Investment13,Balanced Growth,15,115000,0,115000.00,0.00,180000.00,90000.00,581000.00,"Payout closed for Investment13: 115000 ARS (15%) funded via marketplace splits"
62,split,Investment18,Investment14,Balanced Growth,15,2000,0,2000.00,113000.00,180000.00,90000.00,579000.00,"Waterfall split 2000 ARS from Investment18 → Investment14 (2000/115000)"
63,subscription,Investment19,platform,Capital Shield,6,100000,10000,0.00,106000.00,190000.00,90000.00,685000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
64,split,Investment19,Investment14,Balanced Growth,15,90000,0,92000.00,23000.00,190000.00,90000.00,595000.00,"Waterfall split 90000 ARS from Investment19 → Investment14 (92000/115000)"
65,subscription,Investment20,platform,Stable Yield,10,100000,10000,0.00,110000.00,200000.00,90000.00,705000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
66,split,Investment20,Investment14,Balanced Growth,15,23000,0,115000.00,0.00,200000.00,90000.00,682000.00,"Waterfall split 23000 ARS from Investment20 → Investment14 (115000/115000)"
67,payout_closed,Investment20,Investment14,Balanced Growth,15,115000,0,115000.00,0.00,200000.00,90000.00,682000.00,"Payout closed for Investment14: 115000 ARS (15%) funded via marketplace splits"
68,split,Investment20,Investment15,Stable Yield,10,67000,0,67000.00,43000.00,200000.00,90000.00,615000.00,"Waterfall split 67000 ARS from Investment20 → Investment15 (67000/110000)"
69,subscription,Investment21,platform,Balanced Growth,15,100000,10000,0.00,115000.00,210000.00,90000.00,730000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
70,split,Investment21,Investment15,Stable Yield,10,43000,0,110000.00,0.00,210000.00,90000.00,687000.00,"Waterfall split 43000 ARS from Investment21 → Investment15 (110000/110000)"
71,payout_closed,Investment21,Investment15,Stable Yield,10,110000,0,110000.00,0.00,210000.00,90000.00,687000.00,"Payout closed for Investment15: 110000 ARS (10%) funded via marketplace splits"
72,split,Investment21,Investment16,Growth Partners,25,47000,0,47000.00,78000.00,210000.00,90000.00,640000.00,"Waterfall split 47000 ARS from Investment21 → Investment16 (47000/125000)"
73,subscription,Investment22,platform,Balanced Growth,15,100000,10000,0.00,115000.00,220000.00,90000.00,755000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
74,split,Investment22,Investment16,Growth Partners,25,78000,0,125000.00,0.00,220000.00,90000.00,677000.00,"Waterfall split 78000 ARS from Investment22 → Investment16 (125000/125000)"
75,payout_closed,Investment22,Investment16,Growth Partners,25,125000,0,125000.00,0.00,220000.00,90000.00,677000.00,"Payout closed for Investment16: 125000 ARS (25%) funded via marketplace splits"
76,split,Investment22,Investment17,Capital Shield,6,12000,0,12000.00,94000.00,220000.00,90000.00,665000.00,"Waterfall split 12000 ARS from Investment22 → Investment17 (12000/106000)"
77,subscription,Investment23,platform,Stable Yield,10,100000,10000,0.00,110000.00,230000.00,90000.00,775000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
78,split,Investment23,Investment17,Capital Shield,6,90000,0,102000.00,4000.00,230000.00,90000.00,685000.00,"Waterfall split 90000 ARS from Investment23 → Investment17 (102000/106000)"
79,subscription,Investment24,platform,Balanced Growth,15,100000,10000,0.00,115000.00,240000.00,90000.00,800000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
80,split,Investment24,Investment17,Capital Shield,6,4000,0,106000.00,0.00,240000.00,90000.00,796000.00,"Waterfall split 4000 ARS from Investment24 → Investment17 (106000/106000)"
81,payout_closed,Investment24,Investment17,Capital Shield,6,106000,0,106000.00,0.00,240000.00,90000.00,796000.00,"Payout closed for Investment17: 106000 ARS (6%) funded via marketplace splits"
82,split,Investment24,Investment18,Growth Partners,25,86000,0,86000.00,39000.00,240000.00,90000.00,710000.00,"Waterfall split 86000 ARS from Investment24 → Investment18 (86000/125000)"
83,subscription,Investment25,platform,Growth Partners,25,100000,10000,0.00,125000.00,250000.00,90000.00,835000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
84,split,Investment25,Investment18,Growth Partners,25,39000,0,125000.00,0.00,250000.00,90000.00,796000.00,"Waterfall split 39000 ARS from Investment25 → Investment18 (125000/125000)"
85,payout_closed,Investment25,Investment18,Growth Partners,25,125000,0,125000.00,0.00,250000.00,90000.00,796000.00,"Payout closed for Investment18: 125000 ARS (25%) funded via marketplace splits"
86,split,Investment25,Investment19,Capital Shield,6,51000,0,51000.00,55000.00,250000.00,90000.00,745000.00,"Waterfall split 51000 ARS from Investment25 → Investment19 (51000/106000)"
87,subscription,Investment26,platform,Balanced Growth,15,100000,10000,0.00,115000.00,260000.00,90000.00,860000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
88,split,Investment26,Investment19,Capital Shield,6,55000,0,106000.00,0.00,260000.00,90000.00,805000.00,"Waterfall split 55000 ARS from Investment26 → Investment19 (106000/106000)"
89,payout_closed,Investment26,Investment19,Capital Shield,6,106000,0,106000.00,0.00,260000.00,90000.00,805000.00,"Payout closed for Investment19: 106000 ARS (6%) funded via marketplace splits"
90,split,Investment26,Investment20,Stable Yield,10,35000,0,35000.00,75000.00,260000.00,90000.00,770000.00,"Waterfall split 35000 ARS from Investment26 → Investment20 (35000/110000)"
91,subscription,Investment27,platform,Growth Partners,25,100000,10000,0.00,125000.00,270000.00,90000.00,895000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
92,split,Investment27,Investment20,Stable Yield,10,75000,0,110000.00,0.00,270000.00,90000.00,820000.00,"Waterfall split 75000 ARS from Investment27 → Investment20 (110000/110000)"
93,payout_closed,Investment27,Investment20,Stable Yield,10,110000,0,110000.00,0.00,270000.00,90000.00,820000.00,"Payout closed for Investment20: 110000 ARS (10%) funded via marketplace splits"
94,split,Investment27,Investment21,Balanced Growth,15,15000,0,15000.00,100000.00,270000.00,90000.00,805000.00,"Waterfall split 15000 ARS from Investment27 → Investment21 (15000/115000)"
95,subscription,Investment28,platform,Stable Yield,10,100000,10000,0.00,110000.00,280000.00,90000.00,915000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
96,split,Investment28,Investment21,Balanced Growth,15,90000,0,105000.00,10000.00,280000.00,90000.00,825000.00,"Waterfall split 90000 ARS from Investment28 → Investment21 (105000/115000)"
97,subscription,Investment29,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,290000.00,90000.00,965000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
98,split,Investment29,Investment21,Balanced Growth,15,10000,0,115000.00,0.00,290000.00,90000.00,955000.00,"Waterfall split 10000 ARS from Investment29 → Investment21 (115000/115000)"
99,payout_closed,Investment29,Investment21,Balanced Growth,15,115000,0,115000.00,0.00,290000.00,90000.00,955000.00,"Payout closed for Investment21: 115000 ARS (15%) funded via marketplace splits"
100,split,Investment29,Investment22,Balanced Growth,15,80000,0,80000.00,35000.00,290000.00,90000.00,875000.00,"Waterfall split 80000 ARS from Investment29 → Investment22 (80000/115000)"
101,subscription,Investment30,platform,Capital Shield,6,100000,10000,0.00,106000.00,300000.00,90000.00,981000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
102,split,Investment30,Investment22,Balanced Growth,15,35000,0,115000.00,0.00,300000.00,90000.00,946000.00,"Waterfall split 35000 ARS from Investment30 → Investment22 (115000/115000)"
103,payout_closed,Investment30,Investment22,Balanced Growth,15,115000,0,115000.00,0.00,300000.00,90000.00,946000.00,"Payout closed for Investment22: 115000 ARS (15%) funded via marketplace splits"
104,split,Investment30,Investment23,Stable Yield,10,55000,0,55000.00,55000.00,300000.00,90000.00,891000.00,"Waterfall split 55000 ARS from Investment30 → Investment23 (55000/110000)"
105,subscription,Investment31,platform,Growth Partners,25,100000,10000,0.00,125000.00,310000.00,90000.00,1016000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
106,split,Investment31,Investment23,Stable Yield,10,55000,0,110000.00,0.00,310000.00,90000.00,961000.00,"Waterfall split 55000 ARS from Investment31 → Investment23 (110000/110000)"
107,payout_closed,Investment31,Investment23,Stable Yield,10,110000,0,110000.00,0.00,310000.00,90000.00,961000.00,"Payout closed for Investment23: 110000 ARS (10%) funded via marketplace splits"
108,split,Investment31,Investment24,Balanced Growth,15,35000,0,35000.00,80000.00,310000.00,90000.00,926000.00,"Waterfall split 35000 ARS from Investment31 → Investment24 (35000/115000)"
109,subscription,Investment32,platform,Capital Shield,6,100000,10000,0.00,106000.00,320000.00,90000.00,1032000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
110,split,Investment32,Investment24,Balanced Growth,15,80000,0,115000.00,0.00,320000.00,90000.00,952000.00,"Waterfall split 80000 ARS from Investment32 → Investment24 (115000/115000)"
111,payout_closed,Investment32,Investment24,Balanced Growth,15,115000,0,115000.00,0.00,320000.00,90000.00,952000.00,"Payout closed for Investment24: 115000 ARS (15%) funded via marketplace splits"
112,split,Investment32,Investment25,Growth Partners,25,10000,0,10000.00,115000.00,320000.00,90000.00,942000.00,"Waterfall split 10000 ARS from Investment32 → Investment25 (10000/125000)"
113,subscription,Investment33,platform,Capital Shield,6,100000,10000,0.00,106000.00,330000.00,90000.00,1048000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
114,split,Investment33,Investment25,Growth Partners,25,90000,0,100000.00,25000.00,330000.00,90000.00,958000.00,"Waterfall split 90000 ARS from Investment33 → Investment25 (100000/125000)"
115,subscription,Investment34,platform,Balanced Growth,15,100000,10000,0.00,115000.00,340000.00,90000.00,1073000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
116,split,Investment34,Investment25,Growth Partners,25,25000,0,125000.00,0.00,340000.00,90000.00,1048000.00,"Waterfall split 25000 ARS from Investment34 → Investment25 (125000/125000)"
117,payout_closed,Investment34,Investment25,Growth Partners,25,125000,0,125000.00,0.00,340000.00,90000.00,1048000.00,"Payout closed for Investment25: 125000 ARS (25%) funded via marketplace splits"
118,split,Investment34,Investment26,Balanced Growth,15,65000,0,65000.00,50000.00,340000.00,90000.00,983000.00,"Waterfall split 65000 ARS from Investment34 → Investment26 (65000/115000)"
119,subscription,Investment35,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,350000.00,90000.00,1123000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
120,split,Investment35,Investment26,Balanced Growth,15,50000,0,115000.00,0.00,350000.00,90000.00,1073000.00,"Waterfall split 50000 ARS from Investment35 → Investment26 (115000/115000)"
121,payout_closed,Investment35,Investment26,Balanced Growth,15,115000,0,115000.00,0.00,350000.00,90000.00,1073000.00,"Payout closed for Investment26: 115000 ARS (15%) funded via marketplace splits"
122,split,Investment35,Investment27,Growth Partners,25,40000,0,40000.00,85000.00,350000.00,90000.00,1033000.00,"Waterfall split 40000 ARS from Investment35 → Investment27 (40000/125000)"
123,subscription,Investment36,platform,Stable Yield,10,100000,10000,0.00,110000.00,360000.00,90000.00,1143000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
124,split,Investment36,Investment27,Growth Partners,25,85000,0,125000.00,0.00,360000.00,90000.00,1058000.00,"Waterfall split 85000 ARS from Investment36 → Investment27 (125000/125000)"
125,payout_closed,Investment36,Investment27,Growth Partners,25,125000,0,125000.00,0.00,360000.00,90000.00,1058000.00,"Payout closed for Investment27: 125000 ARS (25%) funded via marketplace splits"
126,split,Investment36,Investment28,Stable Yield,10,5000,0,5000.00,105000.00,360000.00,90000.00,1053000.00,"Waterfall split 5000 ARS from Investment36 → Investment28 (5000/110000)"
127,subscription,Investment37,platform,Balanced Growth,15,100000,10000,0.00,115000.00,370000.00,90000.00,1168000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
128,split,Investment37,Investment28,Stable Yield,10,90000,0,95000.00,15000.00,370000.00,90000.00,1078000.00,"Waterfall split 90000 ARS from Investment37 → Investment28 (95000/110000)"
129,subscription,Investment38,platform,Growth Partners,25,100000,10000,0.00,125000.00,380000.00,90000.00,1203000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
130,split,Investment38,Investment28,Stable Yield,10,15000,0,110000.00,0.00,380000.00,90000.00,1188000.00,"Waterfall split 15000 ARS from Investment38 → Investment28 (110000/110000)"
131,payout_closed,Investment38,Investment28,Stable Yield,10,110000,0,110000.00,0.00,380000.00,90000.00,1188000.00,"Payout closed for Investment28: 110000 ARS (10%) funded via marketplace splits"
132,split,Investment38,Investment29,Aggressive Alpha,40,75000,0,75000.00,65000.00,380000.00,90000.00,1113000.00,"Waterfall split 75000 ARS from Investment38 → Investment29 (75000/140000)"
133,subscription,Investment39,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,390000.00,90000.00,1253000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
134,split,Investment39,Investment29,Aggressive Alpha,40,65000,0,140000.00,0.00,390000.00,90000.00,1188000.00,"Waterfall split 65000 ARS from Investment39 → Investment29 (140000/140000)"
135,payout_closed,Investment39,Investment29,Aggressive Alpha,40,140000,0,140000.00,0.00,390000.00,90000.00,1188000.00,"Payout closed for Investment29: 140000 ARS (40%) funded via marketplace splits"
136,split,Investment39,Investment30,Capital Shield,6,25000,0,25000.00,81000.00,390000.00,90000.00,1163000.00,"Waterfall split 25000 ARS from Investment39 → Investment30 (25000/106000)"
137,subscription,Investment40,platform,Growth Partners,25,100000,10000,0.00,125000.00,400000.00,90000.00,1288000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
138,split,Investment40,Investment30,Capital Shield,6,81000,0,106000.00,0.00,400000.00,90000.00,1207000.00,"Waterfall split 81000 ARS from Investment40 → Investment30 (106000/106000)"
139,payout_closed,Investment40,Investment30,Capital Shield,6,106000,0,106000.00,0.00,400000.00,90000.00,1207000.00,"Payout closed for Investment30: 106000 ARS (6%) funded via marketplace splits"
140,split,Investment40,Investment31,Growth Partners,25,9000,0,9000.00,116000.00,400000.00,90000.00,1198000.00,"Waterfall split 9000 ARS from Investment40 → Investment31 (9000/125000)"
141,subscription,Investment41,platform,Stable Yield,10,100000,10000,0.00,110000.00,410000.00,90000.00,1308000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
142,split,Investment41,Investment31,Growth Partners,25,90000,0,99000.00,26000.00,410000.00,90000.00,1218000.00,"Waterfall split 90000 ARS from Investment41 → Investment31 (99000/125000)"
143,subscription,Investment42,platform,Growth Partners,25,100000,10000,0.00,125000.00,420000.00,90000.00,1343000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
144,split,Investment42,Investment31,Growth Partners,25,26000,0,125000.00,0.00,420000.00,90000.00,1317000.00,"Waterfall split 26000 ARS from Investment42 → Investment31 (125000/125000)"
145,payout_closed,Investment42,Investment31,Growth Partners,25,125000,0,125000.00,0.00,420000.00,90000.00,1317000.00,"Payout closed for Investment31: 125000 ARS (25%) funded via marketplace splits"
146,split,Investment42,Investment32,Capital Shield,6,64000,0,64000.00,42000.00,420000.00,90000.00,1253000.00,"Waterfall split 64000 ARS from Investment42 → Investment32 (64000/106000)"
147,subscription,Investment43,platform,Growth Partners,25,100000,10000,0.00,125000.00,430000.00,90000.00,1378000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 125000"
148,split,Investment43,Investment32,Capital Shield,6,42000,0,106000.00,0.00,430000.00,90000.00,1336000.00,"Waterfall split 42000 ARS from Investment43 → Investment32 (106000/106000)"
149,payout_closed,Investment43,Investment32,Capital Shield,6,106000,0,106000.00,0.00,430000.00,90000.00,1336000.00,"Payout closed for Investment32: 106000 ARS (6%) funded via marketplace splits"
150,split,Investment43,Investment33,Capital Shield,6,48000,0,48000.00,58000.00,430000.00,90000.00,1288000.00,"Waterfall split 48000 ARS from Investment43 → Investment33 (48000/106000)"
151,subscription,Investment44,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,440000.00,90000.00,1428000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
152,split,Investment44,Investment33,Capital Shield,6,58000,0,106000.00,0.00,440000.00,90000.00,1370000.00,"Waterfall split 58000 ARS from Investment44 → Investment33 (106000/106000)"
153,payout_closed,Investment44,Investment33,Capital Shield,6,106000,0,106000.00,0.00,440000.00,90000.00,1370000.00,"Payout closed for Investment33: 106000 ARS (6%) funded via marketplace splits"
